timestamp,retrieved,channel,kind,detail,clock_ok
,2024-06-11,in,restart_marker,line 31,0
,2024-06-11,in,restart_marker,line 9,0
,2024-06-11,in,restart_marker,line 32,0
,2024-06-11,in,restart_marker,line 55,0
,2024-06-11,in,restart_marker,line 16,0
,2024-06-11,in,restart_marker,line 68,0
,2024-06-11,in,restart_marker,line 23,0
,2024-06-11,in,restart_marker,line 25,0
,2024-06-11,in,restart_marker,line 40,0
,2024-06-11,in,restart_marker,line 4,0
,2024-06-11,in,restart_marker,line 30,0
,2024-06-11,in,restart_marker,line 49,0
,2024-06-11,in,restart_marker,line 24,0
,2024-06-11,in,restart_marker,line 60,0
,2024-06-11,in,restart_marker,line 64,0
,2024-06-11,in,restart_marker,line 77,0
,2024-06-11,in,restart_marker,line 53,0
,2024-06-11,in,restart_marker,line 2,0
,2024-06-11,in,restart_marker,line 12,0
,2024-06-11,in,restart_marker,line 21,0
,2024-06-11,in,restart_marker,line 72,0
,2024-06-11,in,restart_marker,line 74,0
,2024-06-11,in,restart_marker,line 44,0
,2024-06-11,in,restart_marker,line 45,0
,2024-06-11,in,restart_marker,line 54,0
,2024-06-11,in,restart_marker,line 73,0
,2024-06-11,in,restart_marker,line 1,0
,2024-06-11,in,restart_marker,line 13,0
,2024-06-11,in,restart_marker,line 15,0
,2024-06-11,in,restart_marker,line 69,0
,2024-06-11,in,restart_marker,line 10,0
,2024-06-11,in,restart_marker,line 17,0
,2024-06-11,in,restart_marker,line 66,0
,2024-06-11,in,restart_marker,line 38,0
,2024-06-11,in,restart_marker,line 43,0
,2024-06-11,in,restart_marker,line 47,0
,2024-06-11,in,restart_marker,line 36,0
,2024-06-11,in,restart_marker,line 46,0
,2024-06-11,in,restart_marker,line 75,0
,2024-06-11,in,restart_marker,line 58,0
,2024-06-11,in,restart_marker,line 5,0
,2024-06-11,in,restart_marker,line 37,0
,2024-06-11,in,restart_marker,line 57,0
,2024-06-11,in,restart_marker,line 48,0
,2024-06-11,in,restart_marker,line 78,0
,2024-06-11,in,restart_marker,line 51,0
,2024-06-11,in,restart_marker,line 62,0
,2024-06-11,in,restart_marker,line 41,0
,2024-06-11,in,restart_marker,line 65,0
,2024-06-11,in,restart_marker,line 20,0
,2024-06-11,in,restart_marker,line 35,0
,2024-06-11,in,restart_marker,line 42,0
,2024-06-11,in,restart_marker,line 6,0
,2024-06-11,in,restart_marker,line 28,0
,2024-06-11,in,restart_marker,line 56,0
,2024-06-11,in,restart_marker,line 70,0
,2024-06-11,in,restart_marker,line 67,0
,2024-06-11,in,restart_marker,line 26,0
,2024-06-11,in,restart_marker,line 14,0
,2024-06-11,in,restart_marker,line 33,0
,2024-06-11,in,restart_marker,line 50,0
,2024-06-11,in,restart_marker,line 7,0
,2024-06-11,in,restart_marker,line 18,0
,2024-06-11,in,restart_marker,line 76,0
,2024-06-11,in,restart_marker,line 22,0
,2024-06-11,in,restart_marker,line 52,0
,2024-06-11,in,restart_marker,line 27,0
,2024-06-11,in,restart_marker,line 63,0
,2024-06-11,in,restart_marker,line 71,0
,2024-06-11,in,restart_marker,line 34,0
,2024-06-11,in,restart_marker,line 79,0
,2024-06-11,in,restart_marker,line 19,0
,2024-06-11,in,restart_marker,line 8,0
,2024-06-11,in,restart_marker,line 39,0
,2024-06-11,in,restart_marker,line 61,0
,2024-06-11,in,restart_marker,line 3,0
,2024-06-11,in,restart_marker,line 59,0
,2024-06-11,in,restart_marker,line 11,0
,2024-06-11,in,restart_marker,line 29,0
,2024-06-11,out,restart_marker,line 173,0
,2024-06-11,out,restart_marker,line 36,0
,2024-06-11,out,restart_marker,line 750,0
,2024-06-11,out,restart_marker,line 772,0
,2024-06-11,out,restart_marker,line 131,0
,2024-06-11,out,restart_marker,line 739,0
,2024-06-11,out,restart_marker,line 252,0
,2024-06-11,out,restart_marker,line 87,0
,2024-06-11,out,restart_marker,line 56,0
,2024-06-11,out,restart_marker,line 162,0
,2024-06-11,out,restart_marker,line 794,0
,2024-06-11,out,restart_marker,line 109,0
,2024-06-11,out,restart_marker,line 413,0
,2024-06-11,out,restart_marker,line 620,0
,2024-06-11,out,restart_marker,line 206,0
,2024-06-11,out,restart_marker,line 577,0
,2024-06-11,out,restart_marker,line 230,0
,2024-06-11,out,restart_marker,line 587,0
,2024-06-11,out,restart_marker,line 380,0
,2024-06-11,out,restart_marker,line 479,0
,2024-06-11,out,restart_marker,line 545,0
,2024-06-11,out,restart_marker,line 435,0
,2024-06-11,out,restart_marker,line 490,0
,2024-06-11,out,restart_marker,line 25,0
,2024-06-11,out,restart_marker,line 717,0
,2024-06-11,out,restart_marker,line 217,0
,2024-06-11,out,restart_marker,line 631,0
,2024-06-11,out,restart_marker,line 402,0
,2024-06-11,out,restart_marker,line 566,0
,2024-06-11,out,restart_marker,line 327,0
,2024-06-11,out,restart_marker,line 512,0
